,rho,time,Rp_
0,39.1063014363399,5.7857857857857855,7.480859270906229e-07
1,39.10669192638512,1.7417417417417418,7.523831968941666e-07
2,39.10690398344545,3.4034034034034035,7.581142419365003e-07
3,39.106807327645505,3.923923923923924,7.637557101539806e-07
4,39.106751434555626,0.8208208208208209,7.700223674693085e-07
5,39.10664725228269,4.924924924924925,7.596098884484421e-07
6,39.10677948510098,1.8618618618618619,7.627980779493857e-07
7,39.1068016926326,3.5035035035035036,7.194527526771065e-07
8,39.10698589223185,3.803803803803804,7.714039571188167e-07
9,39.106675778245254,1.0410410410410411,7.351719432213787e-07
10,39.10657104678158,7.787787787787788,7.545248341225276e-07
11,39.106866157569556,3.803803803803804,7.613253439388451e-07
12,39.10618545724372,4.644644644644645,7.4181204937583e-07
13,39.106390771371316,2.6226226226226226,7.847968715582826e-07
14,39.106909133911685,0.20020020020020018,7.568407036848623e-07
15,39.10684170484282,4.2842842842842845,7.491409675935756e-07
16,39.10697594720338,3.023023023023023,7.344989873499513e-07
17,39.106711158255855,4.404404404404405,7.692544970246338e-07
18,39.106790404786814,1.4214214214214214,7.674380176475485e-07
19,39.106823985851015,5.325325325325325,7.356998841180302e-07
20,39.106556960429806,1.4214214214214214,7.285967678076076e-07
21,39.10676800950151,4.2442442442442445,7.752686520643518e-07
22,39.10679466105028,1.4614614614614614,7.617992722135276e-07
23,39.10700042676168,2.1221221221221223,7.766469882090615e-07
24,39.10700047994857,4.704704704704705,7.459275993143426e-07
25,39.10661293214379,4.124124124124124,7.567830241214172e-07
26,39.10686544837387,0.6006006006006006,7.403993498208224e-07
27,39.106954210998026,1.3613613613613613,7.332883414156892e-07
28,39.10694682205768,0.7807807807807807,7.466171757317198e-07
29,39.106843061758035,1.1611611611611612,7.377316880776908e-07
30,39.10674706926037,2.4824824824824825,7.870991860470846e-07
31,39.10655665663223,5.485485485485485,7.755082951583175e-07
32,39.106621836684944,5.325325325325325,7.160288710348614e-07
33,39.10615187123648,5.165165165165165,7.59692951788385e-07
34,39.106882032738845,3.883883883883884,7.30414842376467e-07
35,39.10682128891472,4.324324324324325,7.384950215114235e-07
36,39.10643147870703,4.864864864864865,7.662166508197506e-07
37,39.106436967993126,2.8228228228228227,7.674749325040181e-07
38,39.1069419098688,4.944944944944945,7.204527462336413e-07
39,39.10675355339825,1.4414414414414414,7.445350474185687e-07
40,39.106885735372565,4.3043043043043046,7.386512492342863e-07
41,39.10692591805478,1.8618618618618619,7.386060351963883e-07
42,39.106650868999886,3.2632632632632634,7.629209314990588e-07
43,39.10684250710701,4.344344344344345,7.714376439648116e-07
